threshold,precision,recall,f1
0.1,0.22742474916387959,0.9963369963369964,0.37031994554118447
0.11,0.2281144781144781,0.9926739926739927,0.37097878165639975
0.12,0.23195876288659795,0.989010989010989,0.3757828810020877
0.13,0.23672367236723674,0.9633699633699634,0.3800578034682081
0.13999999999999999,0.23634651600753295,0.9194139194139194,0.3760299625468165
0.14999999999999997,0.24329692154915591,0.8974358974358975,0.3828125
0.15999999999999998,0.24712041884816754,0.8644688644688645,0.38436482084690554
0.16999999999999998,0.25527192008879024,0.8424908424908425,0.39182282793867124
0.17999999999999997,0.2712700369913687,0.8058608058608059,0.4059040590405904
0.18999999999999995,0.2808219178082192,0.7509157509157509,0.4087736789631107
0.19999999999999996,0.2904191616766467,0.7106227106227107,0.412327311370882
0.20999999999999996,0.29526916802610115,0.663003663003663,0.40857787810383744
0.21999999999999995,0.298372513562387,0.6043956043956044,0.39951573849878935
0.22999999999999995,0.31237721021611004,0.5824175824175825,0.40664961636828645
0.23999999999999994,0.32688172043010755,0.5567765567765568,0.41192411924119243
0.24999999999999992,0.3411214953271028,0.5347985347985348,0.4165477888730385
0.2599999999999999,0.3384223918575064,0.48717948717948717,0.3993993993993994
0.2699999999999999,0.35014836795252224,0.43223443223443225,0.38688524590163936
0.2799999999999999,0.3538961038961039,0.3992673992673993,0.37521514629948366
0.2899999999999999,0.34317343173431736,0.34065934065934067,0.34191176470588236
0.29999999999999993,0.3416666666666667,0.30036630036630035,0.31968810916179335
0.30999999999999994,0.35323383084577115,0.2600732600732601,0.29957805907172996
0.3199999999999999,0.35802469135802467,0.21245421245421245,0.26666666666666666
0.32999999999999985,0.36153846153846153,0.17216117216117216,0.23325062034739455
0.33999999999999986,0.3577981651376147,0.14285714285714285,0.20418848167539266
0.34999999999999987,0.3333333333333333,0.10256410256410256,0.1568627450980392
0.3599999999999999,0.35714285714285715,0.09157509157509157,0.1457725947521866
0.3699999999999999,0.3898305084745763,0.08424908424908426,0.13855421686746988
0.3799999999999999,0.3673469387755102,0.06593406593406594,0.11180124223602485
0.3899999999999999,0.3902439024390244,0.05860805860805861,0.10191082802547771
0.3999999999999998,0.3548387096774194,0.040293040293040296,0.07236842105263158
0.4099999999999998,0.44,0.040293040293040296,0.0738255033557047
0.4199999999999998,0.3888888888888889,0.02564102564102564,0.048109965635738834
0.4299999999999998,0.45454545454545453,0.018315018315018316,0.035211267605633804
0.43999999999999984,0.2857142857142857,0.007326007326007326,0.014285714285714285
0.44999999999999984,0.2857142857142857,0.007326007326007326,0.014285714285714285
0.45999999999999985,0.2857142857142857,0.007326007326007326,0.014285714285714285
0.46999999999999986,0.5,0.007326007326007326,0.01444043321299639
0.47999999999999976,0.6666666666666666,0.007326007326007326,0.014492753623188406
0.48999999999999977,1.0,0.003663003663003663,0.0072992700729927005
0.4999999999999998,0.0,0.0,0.0
