feature,importance_mean,importance_std
payment_method,0.09801992326264164,0.009814104958214505
price_inr,0.010198718936582928,0.004223321393652982
num_previous_returns,0.008447431748402567,0.0023938198043487115
product_category,0.0060330895282351025,0.005816550257506302
delivery_days,0.00256765887833843,0.003829100295494511
is_weekend_order,0.0011988730435331441,0.0006762083505431724
delivery_distance_km,-0.0002149594382604647,0.0015626656003374158
discount_pct,-0.00022997498725659815,0.002608975868900185
rating_given,-0.0018915640274864143,0.0013161104083730419
num_previous_orders,-0.0023989315251452094,0.0015139853308161577
customer_tenure_days,-0.005490949180269633,0.0018165221693528188
